Hour,Price,Uni Value,Debt Value,Net PnL
70,2946.07971995785,9925.120486513426,4910.132866596417,14.987619917008487
71,2955.156029170506,9940.854174077056,4925.26004861751,15.594125459546376
72,2954.9442936852865,9940.72157061939,4924.907156142144,15.814414477245009
73,2964.2056465294536,9956.700664417896,4940.342744215756,16.35792020214012
74,2948.7153361711376,9930.543497697046,4914.525560285229,16.017937411817
75,2953.5664352482513,9939.05693824056,4922.610725413752,16.446212826806914
76,2954.080678608399,9940.162340694755,4923.467797680665,16.694543014089504
77,2952.3146230510774,9937.377528989902,4920.524371751796,16.853157238106178
78,2952.8564861361106,9938.530611928121,4921.427476893517,17.103135034603838
79,2941.141773837922,9918.710006172501,4901.902956396537,16.807049775964515
80,2939.8498853185783,9916.720139475789,4899.749808864298,16.97033061149068
81,2941.950350036454,9920.554226326894,4903.25058339409,17.303642932803996
82,2950.6589959564963,9935.691946919607,4917.764993260827,17.926953658779894
83,2947.6021031629184,9930.694178579468,4912.670171938197,18.024006641270717
84,2942.8397196686074,9922.764758833779,4904.732866114346,18.031892719433017
85,2939.888019837527,9917.927189623606,4899.813366395878,18.113823227728062
86,2945.2753093072693,9927.395853351898,4908.792182178782,18.6036711731158
87,2947.2124711339575,9930.94072951193,4912.0207852232625,18.919944288668376
88,2944.091493037408,9925.824110184252,4906.819155062347,19.00495512190537
89,2947.115257338583,9931.230989807895,4911.8587622309715,19.37222757692325
90,2947.687510343362,9932.438473146605,4912.812517238937,19.625955907667958
91,2953.4035708701163,9942.432078242495,4922.339284783528,20.092793458967208
92,2949.2595886177082,9935.583609873405,4915.4326476961805,20.150962177224756
93,2947.327500303696,9932.507430006532,4912.212500506161,20.294929500370927
94,2945.017064077347,9928.779959482546,4908.361773462246,20.41818602030071
95,2936.409514508679,9914.230672601787,4894.015857514465,20.214815087321767
96,2938.1490903795443,9917.450650149958,4896.915150632574,20.53549951738387
97,2939.683529539108,9920.31568037139,4899.472549231847,20.843131139543402
98,2939.7135935813803,9920.59563152845,4899.522655968967,21.072975559482074
99,2938.3346791125427,9918.454597598367,4897.224465187572,21.230132410795704
100,2930.028774722601,9904.376520807446,4883.381291204336,20.995229603109692
101,2927.564805525736,9900.349358528038,4879.274675876227,21.07468265181069
102,2925.558855158728,9897.10935634492,4875.931425264547,21.17793108037222
103,2920.8684004717134,9889.214217329914,4868.1140007861895,21.100216543724855
104,2919.9263637396407,9887.808704350797,4866.543939566068,21.264764784728868
105,2922.2869148921063,9892.129589784354,4870.4781914868445,21.65139829750933
106,2933.331687043962,9911.442557518725,4888.88614507327,22.556412445454953
107,2934.356055125964,9913.435573219287,4890.59342520994,22.84214800934751
108,2935.867933574455,9916.266784064821,4893.113222624092,23.15356144072939
